"who" "xcor" "ycor"
"0" 0 10.2032866660899 2.58524670673802
"1" 1 13.4336308221157 13.3718302952307
"2" 2 -6.07204384749646 9.6651289944145
"4" 3 9.86656761160383 -2.88281899695597
"5" 4 -15.9154920670757 -12.7265634620844
"6" 5 -5.35084274381536 -1.98478876561329
"7" 6 11.4409475602034 6.95749436129084
"8" 7 -3.52311806758665 8.19611154606696
"9" 8 -15.7866364205504 -2.84232091433363
"10" 9 -1.78610471015034 -16.4542106489633
"11" 10 -10.1283377820425 5.81454278895719
"12" 11 4.05171087821804 12.1375212769518
"13" 12 -1.29101582925959 -9.88282765565782
"14" 13 0.955785720571281 -0.424311990508752
"15" 14 4.61472975242716 -10.123746791987
"16" 15 -15.0868871278479 -14.6261173123223
"17" 16 -7.86545313955561 -3.44821492005359
"18" 17 -11.9655603616472 -11.4325727886461
"19" 18 -11.9223617400154 6.45690125500146
"20" 19 -7.0655506402796 -10.6391822483636
"21" 20 -2.44436042177326 -3.09087729529024
"22" 21 -14.6998559163443 14.7554025983275
"23" 22 -13.030825987726 -3.18208787130519
"24" 23 -9.99716718007755 -9.32489144977504
"25" 24 6.34691579891292 2.96697754228585
"26" 25 11.5908818890875 11.6036614425749
"27" 26 -13.0342493674268 -1.86228199458024
"28" 27 10.4122354062054 -15.8830684903990
"29" 28 11.9655387933637 4.66451449275915
"30" 29 5.96095863755779 -12.104092391918
